micnum,stmon,stday,styear,endmon,endday,endyear,fatalmin,fatalmax,hiact,hostlev,outcome,numa,numb,version
4094,10,6,1994,11,14,1995,0,0,12,3,7,1,1,mic-1.0
4095,6,3,1996,7,20,2001,2,2,16,4,5,1,2,mic-1.0
4096,8,25,1997,12,23,1997,0,0,14,4,6,1,1,mic-1.0
4097,3,13,1997,3,13,1997,0,0,17,4,5,1,1,mic-1.0
4098,3,24,1996,3,24,1996,0,0,7,3,5,1,1,mic-1.0
4100,5,7,1995,11,12,1995,0,0,10,3,1,1,1,mic-1.0
4101,8,12,1995,8,24,1995,0,0,11,3,5,1,1,mic-1.0
4102,8,12,1995,8,24,1995,0,0,11,3,5,1,1,mic-1.0
4103,1,10,1994,1,10,1994,0,0,8,3,4,1,1,mic-1.0
4105,3,29,1995,3,29,1995,0,0,7,3,5,1,1,mic-1.0
4106,6,20,1993,6,20,1993,0,0,7,3,5,1,1,mic-1.0
4108,3,26,1997,3,26,1997,0,0,8,3,5,1,1,mic-1.0
4109,10,17,1996,10,25,1996,0,0,12,3,3,1,1,mic-1.0
4111,8,5,1998,8,5,1998,0,0,11,3,5,1,1,mic-1.0
4113,11,6,1994,11,6,1994,0,0,16,4,5,1,1,mic-1.0
4114,10,23,1994,1,24,1995,31,49,17,4,5,1,1,mic-1.0
4117,10,22,1997,4,1,1998,0,0,12,3,5,1,1,mic-1.0
4118,6,15,1995,11,3,1995,0,0,8,3,5,1,1,mic-1.0
4119,1,3,1994,11,27,1994,16,44,17,4,5,1,1,mic-1.0
4121,11,13,1995,8,28,1996,30,42,17,4,5,1,1,mic-1.0
4122,9,22,1996,5,17,1997,352,750,17,4,5,1,1,mic-1.0
4123,9,27,1997,11,-9,1997,0,0,17,4,8,1,1,mic-1.0
4124,7,21,1996,5,2,1999,20,202,17,4,6,1,1,mic-1.0
4125,6,16,1999,7,18,1999,0,0,7,3,5,2,1,mic-1.0
4126,2,15,1996,2,15,1996,0,0,7,3,5,1,1,mic-1.0
4128,8,-9,1998,5,16,2000,0,0,15,4,6,1,1,mic-1.0
4130,1,-9,1997,1,13,1997,0,0,17,4,5,1,1,mic-1.0
4134,6,27,1995,7,17,1995,2,2,17,4,5,1,1,mic-1.0
4135,8,15,1997,5,2,1998,4,13,17,4,5,1,1,mic-1.0
4136,3,3,1997,3,20,1997,0,0,11,3,5,1,1,mic-1.0
4137,2,-9,1998,6,10,1999,250,400,22,5,1,23,1,mic-1.0
4138,1,12,1999,1,12,1999,3,3,17,4,5,1,1,mic-1.0
4140,12,1,1999,7,-9,2000,0,0,17,4,6,1,1,mic-1.0
4143,9,20,1995,7,-9,1996,0,0,17,4,5,1,1,mic-1.0
4144,5,13,1997,10,19,1997,0,0,16,4,5,1,1,mic-1.0
4147,7,17,1998,8,-9,1998,0,0,15,4,5,1,1,mic-1.0
4150,8,-9,1997,8,26,1997,0,0,12,3,5,1,1,mic-1.0
4151,2,24,2000,4,-9,2000,0,0,15,4,5,1,1,mic-1.0
4152,12,28,2000,5,13,2001,0,0,12,3,5,1,1,mic-1.0
4154,4,-9,1997,5,28,1997,0,0,16,4,6,1,1,mic-1.0
4156,6,3,2000,9,-9,2000,0,0,12,3,5,1,1,mic-1.0
4158,3,20,1995,7,10,1995,0,0,14,4,5,1,1,mic-1.0
4159,9,5,1995,9,5,1995,0,0,11,3,5,1,1,mic-1.0
4160,8,8,1998,11,-9,1998,2,50,17,4,7,1,1,mic-1.0
4161,5,16,1999,5,16,1999,0,0,16,4,5,1,1,mic-1.0
4162,9,7,1994,12,16,1994,0,0,11,3,4,1,1,mic-1.0
4164,2,14,1994,2,14,1994,0,0,7,3,5,1,1,mic-1.0
4165,6,12,1995,6,13,1995,2,2,17,4,5,1,1,mic-1.0
4166,2,3,1996,5,14,1996,55,227,17,4,5,1,1,mic-1.0
4168,5,13,1995,5,13,1995,11,11,17,4,5,1,1,mic-1.0
4169,1,20,1994,1,20,1994,0,0,12,3,5,1,1,mic-1.0
4170,11,17,1996,12,10,1996,0,0,16,4,4,1,1,mic-1.0
4171,1,9,1997,8,-9,1997,0,0,16,4,5,1,1,mic-1.0
4173,7,13,1996,7,13,1996,0,0,16,4,5,1,1,mic-1.0
4175,2,13,1998,2,13,1998,2,10,17,4,5,1,1,mic-1.0
4176,5,25,1997,5,25,1997,0,0,11,3,5,4,1,mic-1.0
4177,10,29,1999,10,-9,1999,0,0,14,4,5,1,1,mic-1.0
4180,5,14,1999,7,12,1999,0,0,7,3,5,1,1,mic-1.0
4182,4,6,1993,12,30,2014,102,277,17,4,6,1,2,mic-1.0
4186,3,27,2000,3,27,2000,0,0,7,3,3,6,1,mic-1.0
4187,6,-9,1998,11,-9,1998,0,0,11,3,5,1,1,mic-1.0
4188,1,16,1999,6,9,1999,0,0,17,4,6,1,1,mic-1.0
4189,7,-9,1998,10,26,1998,0,0,14,4,6,1,1,mic-1.0
4190,6,-9,1996,6,-9,1996,0,0,11,3,5,2,1,mic-1.0
4192,7,27,1996,1,-9,1997,0,0,16,4,5,1,1,mic-1.0
