micnum,ccode,stmon,stday,styear,endmon,endday,endyear,sidea,fatalmin,fatalmax,hiact,hostlev,orig,version
2043,2,11,3,1866,11,3,1866,1,0,0,7,3,1,mic-1.0
2044,160,6,-9,1875,6,-9,1875,1,0,0,8,3,1,mic-1.0
2044,140,6,-9,1875,6,-9,1875,0,0,0,0,1,1,mic-1.0
2045,92,3,16,1876,3,16,1876,0,0,0,0,1,1,mic-1.0
2045,325,3,16,1876,3,16,1876,1,0,0,7,3,1,mic-1.0
2046,90,7,27,1890,8,25,1890,0,0,0,0,1,1,mic-1.0
2046,230,7,27,1890,8,25,1890,1,0,0,7,3,1,mic-1.0
2047,160,2,25,1911,3,5,1911,0,0,0,7,3,1,mic-1.0
2047,150,2,25,1911,3,5,1911,1,0,0,15,4,1,mic-1.0
2050,100,9,9,1932,5,25,1933,0,0,0,0,1,1,mic-1.0
2050,135,9,9,1932,5,25,1933,0,0,0,17,4,1,mic-1.0
2050,140,9,9,1932,5,25,1933,1,0,0,17,4,1,mic-1.0
2053,365,12,30,1979,4,-9,1981,1,1,25,16,4,0,mic-1.0
2053,770,3,13,1979,2,1,1982,0,25,40,17,4,1,mic-1.0
2053,700,3,13,1979,11,13,1980,1,7,7,17,4,1,mic-1.0
2053,700,6,-9,1981,2,1,1982,1,1,1,16,4,0,mic-1.0
2054,365,8,19,1984,5,30,1985,1,10,30,7,3,0,mic-1.0
2054,700,9,18,1983,5,11,1987,1,12,56,16,4,1,mic-1.0
2054,770,9,18,1983,5,11,1987,0,5,29,16,4,1,mic-1.0
2055,160,11,-9,1842,1,-9,1843,0,0,0,0,1,1,mic-1.0
2055,220,11,-9,1842,1,-9,1843,1,0,0,7,3,1,mic-1.0
2055,200,11,-9,1842,1,-9,1843,1,0,0,7,3,1,mic-1.0
2059,345,7,4,1971,7,4,1971,0,0,0,0,1,1,mic-1.0
2059,355,7,4,1971,7,4,1971,1,0,0,7,3,1,mic-1.0
2066,530,6,11,1965,6,11,1965,1,0,0,17,4,1,mic-1.0
2066,520,6,11,1965,6,11,1965,0,0,0,17,4,1,mic-1.0
2067,530,3,31,1966,3,31,1966,0,1,1,17,4,1,mic-1.0
2067,520,3,31,1966,3,31,1966,1,0,0,17,4,1,mic-1.0
2068,530,5,21,1973,5,21,1973,1,0,0,11,3,1,mic-1.0
2068,520,5,21,1973,5,21,1973,0,0,0,0,1,1,mic-1.0
2069,40,10,15,1977,3,9,1978,0,76,170,22,5,0,mic-1.0
2069,520,2,22,1977,2,-9,1979,1,1952,4675,22,5,1,mic-1.0
2069,530,2,22,1977,2,-9,1979,0,3425,5800,22,5,1,mic-1.0
2069,365,10,15,1977,2,15,1978,0,1,5,22,5,0,mic-1.0
2071,530,2,24,1980,6,13,1981,1,527,1002,17,4,1,mic-1.0
2071,520,2,24,1980,6,13,1981,0,1537,1637,17,4,1,mic-1.0
2072,520,7,6,1982,5,25,1984,0,177,281,17,4,1,mic-1.0
2072,530,7,6,1982,5,25,1984,1,683,1180,17,4,1,mic-1.0
2074,530,12,20,1984,1,1,1985,1,110,350,17,4,1,mic-1.0
2074,520,12,20,1984,1,1,1985,0,4,4,17,4,1,mic-1.0
2075,530,9,16,1985,10,20,1985,1,64,64,17,4,1,mic-1.0
2075,520,9,16,1985,10,20,1985,0,6,6,17,4,1,mic-1.0
2080,160,7,19,1964,7,29,1964,1,0,0,16,4,1,mic-1.0
